rank,listed_at,type,title,year,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,runtime,season_number,season_trakt_id,season_tmdb_id,season_tvdb_id,episode_number,episode_title,episode_released,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres
1,2019-07-09T04:59:55Z,movie,Alita: Battle Angel,2019,243128,tt0437086,399579,,https://trakt.tv/movies/alita-battle-angel-2019,2019-02-14,122,,,,,,,,,,,,"action,science-fiction,thriller,adventure"
2,2019-07-09T05:00:14Z,movie,The Dark Knight,2008,120,tt0468569,155,,https://trakt.tv/movies/the-dark-knight-2008,2008-07-18,152,,,,,,,,,,,,"action,crime,drama,thriller,superhero"
3,2019-07-09T05:07:14Z,movie,Moana,2016,175475,tt3521164,277834,,https://trakt.tv/movies/moana-2016,2016-11-23,107,,,,,,,,,,,,"family,adventure,comedy,animation,musical"
4,2019-07-09T05:06:01Z,movie,Frozen,2013,77349,tt2294629,109445,,https://trakt.tv/movies/frozen-2013,2013-11-27,102,,,,,,,,,,,,"adventure,animation,family,musical"
5,2019-07-09T05:07:17Z,movie,Zootopia,2016,167397,tt2948356,269149,,https://trakt.tv/movies/zootopia-2016,2016-03-04,109,,,,,,,,,,,,"adventure,animation,comedy,family"
6,2019-07-09T05:07:20Z,movie,The Martian,2015,183371,tt3659388,286217,,https://trakt.tv/movies/the-martian-2015,2015-10-02,141,,,,,,,,,,,,"science-fiction,adventure,drama"
7,2019-07-09T05:07:22Z,movie,Passengers,2016,172700,tt1355644,274870,,https://trakt.tv/movies/passengers-2016,2016-12-21,116,,,,,,,,,,,,"science-fiction,romance,drama"
8,2019-07-09T05:07:23Z,movie,The Lord of the Rings: The Fellowship of the Ring,2001,88,tt0120737,120,,https://trakt.tv/movies/the-lord-of-the-rings-the-fellowship-of-the-ring-2001,2001-12-19,178,,,,,,,,,,,,"action,adventure,fantasy"
9,2019-07-09T05:07:24Z,movie,Fight Club,1999,432,tt0137523,550,,https://trakt.tv/movies/fight-club-1999,1999-10-15,139,,,,,,,,,,,,drama
10,2019-07-09T05:07:35Z,movie,John Wick: Chapter 2,2017,205127,tt4425200,324552,,https://trakt.tv/movies/john-wick-chapter-2-2017,2017-02-10,122,,,,,,,,,,,,"action,thriller,crime"
11,2019-07-09T05:07:29Z,movie,The Wolf of Wall Street,2013,75735,tt0993846,106646,,https://trakt.tv/movies/the-wolf-of-wall-street-2013,2013-12-25,180,,,,,,,,,,,,"comedy,crime,drama"
12,2019-07-09T05:07:33Z,movie,Mad Max: Fury Road,2015,56360,tt1392190,76341,,https://trakt.tv/movies/mad-max-fury-road-2015,2015-05-15,121,,,,,,,,,,,,"action,adventure,science-fiction"
13,2019-07-09T05:07:34Z,movie,Django Unchained,2012,50131,tt1853728,68718,,https://trakt.tv/movies/django-unchained-2012,2012-12-25,165,,,,,,,,,,,,"drama,western"
14,2019-07-09T05:00:54Z,movie,The Lord of the Rings: The Return of the King,2003,90,tt0167260,122,,https://trakt.tv/movies/the-lord-of-the-rings-the-return-of-the-king-2003,2003-12-17,201,,,,,,,,,,,,"action,adventure,fantasy"
15,2019-07-09T05:07:50Z,movie,The Lord of the Rings: The Two Towers,2002,89,tt0167261,121,,https://trakt.tv/movies/the-lord-of-the-rings-the-two-towers-2002,2002-12-18,179,,,,,,,,,,,,"action,adventure,fantasy"
16,2019-07-09T05:08:09Z,movie,A Few Good Men,1992,724,tt0104257,881,,https://trakt.tv/movies/a-few-good-men-1992,1992-12-11,138,,,,,,,,,,,,drama
17,2019-07-09T05:08:28Z,movie,The Shawshank Redemption,1994,234,tt0111161,278,,https://trakt.tv/movies/the-shawshank-redemption-1994,1994-10-14,142,,,,,,,,,,,,"crime,drama"
18,2019-07-09T05:08:37Z,movie,Inglourious Basterds,2009,10322,tt0361748,16869,,https://trakt.tv/movies/inglourious-basterds-2009,2009-08-21,153,,,,,,,,,,,,"action,drama,thriller,war"
19,2019-07-09T05:07:45Z,movie,The Hangover,2009,11534,tt1119646,18785,,https://trakt.tv/movies/the-hangover-2009,2009-06-05,100,,,,,,,,,,,,comedy
20,2019-07-09T05:09:04Z,movie,The Hangover Part II,2011,30842,tt1411697,45243,,https://trakt.tv/movies/the-hangover-part-ii-2011,2011-05-25,102,,,,,,,,,,,,comedy
21,2019-07-09T05:09:04Z,movie,The Hangover Part III,2013,77344,tt1951261,109439,,https://trakt.tv/movies/the-hangover-part-iii-2013,2013-05-23,100,,,,,,,,,,,,comedy
22,2019-07-09T05:12:37Z,movie,Superbad,2007,4151,tt0829482,8363,,https://trakt.tv/movies/superbad-2007,2007-08-17,113,,,,,,,,,,,,comedy
23,2019-07-07T15:40:36Z,movie,Inception,2010,16662,tt1375666,27205,,https://trakt.tv/movies/inception-2010,2010-07-16,148,,,,,,,,,,,,"action,adventure,science-fiction"
24,2019-07-09T05:13:16Z,movie,Star Wars,1977,7,tt0076759,11,,https://trakt.tv/movies/star-wars-1977,1977-05-25,121,,,,,,,,,,,,"action,adventure,science-fiction"
25,2019-07-09T05:13:21Z,movie,Star Wars: Episode I - The Phantom Menace,1999,1268,tt0120915,1893,,https://trakt.tv/movies/star-wars-episode-i-the-phantom-menace-1999,1999-05-19,136,,,,,,,,,,,,"action,adventure,science-fiction"
26,2019-07-09T05:13:24Z,movie,Star Wars: Episode III - Revenge of the Sith,2005,1270,tt0121766,1895,,https://trakt.tv/movies/star-wars-episode-iii-revenge-of-the-sith-2005,2005-05-19,140,,,,,,,,,,,,"action,adventure,science-fiction"
27,2019-07-09T05:13:23Z,movie,Star Wars: Episode II - Attack of the Clones,2002,1269,tt0121765,1894,,https://trakt.tv/movies/star-wars-episode-ii-attack-of-the-clones-2002,2002-05-16,142,,,,,,,,,,,,"action,adventure,science-fiction"
28,2019-07-09T05:12:22Z,movie,Star Trek Beyond,2016,118174,tt2660888,188927,,https://trakt.tv/movies/star-trek-beyond-2016,2016-07-22,122,,,,,,,,,,,,"science-fiction,action,adventure"
29,2019-07-09T05:13:39Z,movie,Star Trek Into Darkness,2013,38322,tt1408101,54138,,https://trakt.tv/movies/star-trek-into-darkness-2013,2013-05-16,132,,,,,,,,,,,,"action,adventure,science-fiction"
30,2019-07-09T05:13:46Z,movie,Star Trek,2009,7935,tt0796366,13475,,https://trakt.tv/movies/star-trek-2009,2009-05-07,127,,,,,,,,,,,,"action,adventure,science-fiction"
31,2019-07-09T05:13:48Z,show,Star Trek,1966,252,tt0060028,253,77526,https://trakt.tv/shows/star-trek,1966-09-09,50,,,,,,,,,,,,"science-fiction,fantasy,drama"
32,2019-07-09T05:12:35Z,movie,Star Trek: Generations,1994,156,tt0111280,193,,https://trakt.tv/movies/star-trek-generations-1994,1994-11-17,118,,,,,,,,,,,,"action,adventure,science-fiction,thriller"
33,2019-07-09T05:13:52Z,movie,Star Trek: Nemesis,2002,164,tt0253754,201,,https://trakt.tv/movies/star-trek-nemesis-2002,2002-12-13,117,,,,,,,,,,,,"action,adventure,science-fiction,thriller"
34,2019-07-09T05:13:50Z,movie,Star Trek: Insurrection,1998,163,tt0120844,200,,https://trakt.tv/movies/star-trek-insurrection-1998,1998-12-10,103,,,,,,,,,,,,"action,adventure,science-fiction,thriller"
35,2019-07-09T05:13:51Z,movie,Star Trek: First Contact,1996,162,tt0117731,199,,https://trakt.tv/movies/star-trek-first-contact-1996,1996-11-21,111,,,,,,,,,,,,"action,adventure,science-fiction,thriller"
36,2019-07-09T05:13:54Z,show,Star Trek: Voyager,1995,1843,tt0112178,1855,74550,https://trakt.tv/shows/star-trek-voyager,1995-01-16,45,,,,,,,,,,,,"drama,science-fiction,action,adventure,fantasy"
37,2019-07-09T05:12:40Z,show,Star Trek: Discovery,2017,110419,tt5171438,67198,328711,https://trakt.tv/shows/star-trek-discovery,2017-09-25,45,,,,,,,,,,,,"fantasy,science-fiction,action,adventure,drama"
38,2019-07-09T05:13:56Z,show,Star Trek: The Next Generation,1987,653,tt0092455,655,71470,https://trakt.tv/shows/star-trek-the-next-generation,1987-09-29,45,,,,,,,,,,,,"drama,science-fiction,fantasy,action,adventure,mystery"
39,2019-07-09T05:12:44Z,movie,Star Trek: The Motion Picture,1979,117,tt0079945,152,,https://trakt.tv/movies/star-trek-the-motion-picture-1979,1979-12-06,132,,,,,,,,,,,,"adventure,mystery,science-fiction"
40,2019-07-09T05:14:02Z,movie,Star Trek V: The Final Frontier,1989,137,tt0098382,172,,https://trakt.tv/movies/star-trek-v-the-final-frontier-1989,1989-06-09,107,,,,,,,,,,,,"action,adventure,science-fiction,thriller"
41,2019-07-09T05:12:50Z,movie,Star Trek: Evolutions,2009,180086,tt3255584,282759,,https://trakt.tv/movies/star-trek-evolutions-2009,2009-09-22,80,,,,,,,,,,,,"documentary,science-fiction"
42,2019-07-09T05:14:26Z,movie,Pocahontas,1995,5708,tt0114148,10530,,https://trakt.tv/movies/pocahontas-1995,1995-06-23,81,,,,,,,,,,,,"adventure,animation,family,musical,romance"
43,2019-07-09T05:14:29Z,movie,The Emperor's New Groove,2000,6761,tt0120917,11688,,https://trakt.tv/movies/the-emperor-s-new-groove-2000,2000-12-09,78,,,,,,,,,,,,"adventure,animation,comedy,fantasy,family"
44,2019-07-09T05:14:31Z,movie,Mulan,1998,5846,tt0120762,10674,,https://trakt.tv/movies/mulan-1998,1998-06-18,88,,,,,,,,,,,,"adventure,animation,family,musical"
45,2019-07-09T05:14:30Z,movie,Wreck-It Ralph,2012,61864,tt1772341,82690,,https://trakt.tv/movies/wreck-it-ralph-2012,2012-11-02,101,,,,,,,,,,,,"adventure,animation,comedy,family"
46,2019-07-09T05:14:31Z,movie,Lilo & Stitch,2002,6625,tt0275847,11544,,https://trakt.tv/movies/lilo-stitch-2002,2002-06-21,85,,,,,,,,,,,,"animation,family"
47,2019-07-09T05:14:37Z,movie,The Little Mermaid,1989,5360,tt0097757,10144,,https://trakt.tv/movies/the-little-mermaid-1989,1989-11-17,83,,,,,,,,,,,,"animation,family"
48,2019-07-09T05:14:37Z,movie,Maleficent,2014,73425,tt1587310,102651,,https://trakt.tv/movies/maleficent-2014,2014-05-30,97,,,,,,,,,,,,"action,adventure,fantasy,romance,family"
49,2019-07-09T05:13:24Z,movie,Finding Dory,2016,87254,tt2277860,127380,,https://trakt.tv/movies/finding-dory-2016,2016-06-17,97,,,,,,,,,,,,"animation,family,adventure,comedy"
50,2019-07-09T05:14:39Z,movie,Finding Nemo,2003,8,tt0266543,12,,https://trakt.tv/movies/finding-nemo-2003,2003-05-30,100,,,,,,,,,,,,"animation,family"
51,2019-07-09T05:14:41Z,movie,Bambi,1942,2128,tt0034492,3170,,https://trakt.tv/movies/bambi-1942,1942-08-21,70,,,,,,,,,,,,"animation,drama,family"
52,2019-07-09T05:14:42Z,movie,Dumbo,1941,6456,tt0033563,11360,,https://trakt.tv/movies/dumbo-1941,1941-10-23,64,,,,,,,,,,,,"animation,family,musical"
53,2019-07-09T05:14:54Z,movie,Pinocchio,1940,6049,tt0032910,10895,,https://trakt.tv/movies/pinocchio-1940,1940-02-23,88,,,,,,,,,,,,"animation,family"
54,2019-07-09T05:07:50Z,movie,Snow White and the Seven Dwarfs,1937,326,tt0029583,408,,https://trakt.tv/movies/snow-white-and-the-seven-dwarfs-1937,1937-12-21,83,,,,,,,,,,,,"animation,fantasy,family"
55,2019-07-09T05:07:51Z,show,Lilo & Stitch: The Series,2003,2341,tt0364774,2355,71624,https://trakt.tv/shows/lilo-stitch-the-series,2003-09-20,25,,,,,,,,,,,,"animation,comedy,family"
56,2019-07-09T05:14:49Z,movie,Fun & Fancy Free,1947,32300,tt0039404,46929,,https://trakt.tv/movies/fun-fancy-free-1947,1947-09-27,73,,,,,,,,,,,,"animation,music,family"
57,2019-07-09T05:07:55Z,movie,Cinderella,1950,6350,tt0042332,11224,,https://trakt.tv/movies/cinderella-1950,1950-03-04,74,,,,,,,,,,,,"animation,fantasy,romance,family,musical"
58,2019-07-09T05:14:51Z,movie,Lady and the Tramp,1955,5539,tt0048280,10340,,https://trakt.tv/movies/lady-and-the-tramp-1955,1955-06-16,76,,,,,,,,,,,,"animation,family,romance"
59,2019-07-09T05:14:54Z,movie,Peter Pan,1953,5864,tt0046183,10693,,https://trakt.tv/movies/peter-pan-1953,1953-02-05,77,,,,,,,,,,,,"adventure,animation,fantasy,family,musical"
60,2019-07-09T05:14:55Z,movie,Sleeping Beauty,1959,6039,tt0053285,10882,,https://trakt.tv/movies/sleeping-beauty-1959,1959-01-29,75,,,,,,,,,,,,"animation,fantasy,romance,family,musical"
61,2019-07-09T05:14:54Z,movie,One Hundred and One Dalmatians,1961,7132,tt0055254,12230,,https://trakt.tv/movies/one-hundred-and-one-dalmatians-1961,1961-01-25,79,,,,,,,,,,,,"animation,adventure,comedy,family"
62,2019-07-09T05:14:58Z,movie,The Sword in the Stone,1963,4527,tt0057546,9078,,https://trakt.tv/movies/the-sword-in-the-stone-1963,1963-12-25,79,,,,,,,,,,,,"animation,family"
63,2019-07-09T05:08:03Z,movie,Robin Hood,1973,6904,tt0070608,11886,,https://trakt.tv/movies/robin-hood-1973,1973-11-08,83,,,,,,,,,,,,"animation,family"
